Year,Award,Movie,Nominee,Winner
2000,MUSIC (ORIGINAL SONG),Blame Canada in "South Park: Bigger  Longer & Uncut" Music and Lyric by Trey Parker and Marc Shaiman,South Park: Bigger| Longer & Uncut,0
2000,MUSIC (ORIGINAL SONG),Music Of My Heart in "Music of the Heart" Music and Lyric by Diane Warren,Music of the Heart,0
2000,MUSIC (ORIGINAL SONG),Save Me in "Magnolia" Music and Lyric by Aimee Mann,Magnolia,0
2000,MUSIC (ORIGINAL SONG),When She Loved Me in "Toy Story 2" Music and Lyric by Randy Newman,Toy Story 2,0
2000,BEST PICTURE,Bruce Cohen and Dan Jinks  Producers,American Beauty,1
2000,BEST PICTURE,Richard N. Gladstein  Producer,The Cider House Rules,0
2000,BEST PICTURE,David Valdes and Frank Darabont  Producers,The Green Mile,0
2000,BEST PICTURE,Michael Mann and Pieter Jan Brugge  Producers,The Insider,0
2000,BEST PICTURE,Frank Marshall  Kathleen Kennedy and Barry Mendel  Producers,The Sixth Sense,0
2000,SHORT FILM (ANIMATED),Alexander Petrov,The Old Man and the Sea,1
2000,SHORT FILM (ANIMATED),Peter Peake,Humdrum,0
2000,SHORT FILM (ANIMATED),Torill Kove,My Grandmother Ironed the King's Shirts,0
2000,SHORT FILM (ANIMATED),Paul Driessen,3 Misses,0
2000,SHORT FILM (ANIMATED),Wendy Tilby  Amanda Forbis,When the Day Breaks,0
2000,SHORT FILM (LIVE ACTION),Barbara Schock  Tammy Tiehel,My Mother Dreams the Satan's Disciples in New York,1
2000,SHORT FILM (LIVE ACTION),Henrik Ruben Genz  Michael W. Horsten,Bror| Min Bror (Teis and Nico),0
2000,SHORT FILM (LIVE ACTION),Mehdi Norowzian  Steve Wax,Killing Joe,0
2000,SHORT FILM (LIVE ACTION),Marc-Andreas Bochert  Gabriele Lins,Kleingeld (Small Change),0
2000,SHORT FILM (LIVE ACTION),Marcus Olsson,Major and Minor Miracles,0
2000,VISUAL EFFECTS,John Gaeta  Janek Sirrs  Steve Courtley  Jon Thum,The Matrix,1
2000,VISUAL EFFECTS,John Knoll  Dennis Muren  Scott Squires  Rob Coleman,Star Wars Episode I: The Phantom Menace,0
2000,VISUAL EFFECTS,John Dykstra  Jerome Chen  Henry F. Anderson III  Eric Allard,Stuart Little,0
2001,ACTOR IN A LEADING ROLE,Gladiator,Russell Crowe,1
2001,ACTOR IN A LEADING ROLE,Before Night Falls,Javier Bardem,0
2001,ACTOR IN A LEADING ROLE,Cast Away,Tom Hanks,0
2001,ACTOR IN A LEADING ROLE,Pollock,Ed Harris,0
2001,ACTOR IN A LEADING ROLE,Quills,Geoffrey Rush,0
2001,ACTOR IN A SUPPORTING ROLE,Traffic,Benicio Del Toro,1
2001,ACTOR IN A SUPPORTING ROLE,The Contender,Jeff Bridges,0
2001,ACTOR IN A SUPPORTING ROLE,Shadow of the Vampire,Willem Dafoe,0
2001,ACTOR IN A SUPPORTING ROLE,Erin Brockovich,Albert Finney,0
2001,ACTOR IN A SUPPORTING ROLE,Gladiator,Joaquin Phoenix,0
2001,ACTRESS IN A LEADING ROLE,Erin Brockovich,Julia Roberts,1
2001,ACTRESS IN A LEADING ROLE,The Contender,Joan Allen,0
2001,ACTRESS IN A LEADING ROLE,Chocolat,Juliette Binoche,0
2001,ACTRESS IN A LEADING ROLE,Requiem for a Dream,Ellen Burstyn,0
2001,ACTRESS IN A LEADING ROLE,You Can Count on Me,Laura Linney,0
2001,ACTRESS IN A SUPPORTING ROLE,Pollock,Marcia Gay Harden,1
2001,ACTRESS IN A SUPPORTING ROLE,Chocolat,Judi Dench,0
2001,ACTRESS IN A SUPPORTING ROLE,Almost Famous,Kate Hudson,0
2001,ACTRESS IN A SUPPORTING ROLE,Almost Famous,Frances McDormand,0
2001,ACTRESS IN A SUPPORTING ROLE,Billy Elliot,Julie Walters,0
2001,CINEMATOGRAPHY,Peter Pau,Crouching Tiger| Hidden Dragon,1
2001,CINEMATOGRAPHY,John Mathieson,Gladiator,0
2001,CINEMATOGRAPHY,Lajos Koltai,,0
2001,CINEMATOGRAPHY,Roger Deakins,O Brother| Where Art Thou?,0
2001,CINEMATOGRAPHY,Caleb Deschanel,The Patriot,0
2001,COSTUME DESIGN,Janty Yates,Gladiator,1
2001,COSTUME DESIGN,Tim Yip,Crouching Tiger| Hidden Dragon,0
2001,COSTUME DESIGN,Rita Ryack,Dr. Seuss' How the Grinch Stole Christmas,0
2001,COSTUME DESIGN,Anthony Powell,102 Dalmatians,0
2001,COSTUME DESIGN,Jacqueline West,Quills,0
2001,DIRECTING,Steven Soderbergh,Traffic,1
2001,DIRECTING,Stephen Daldry,Billy Elliot,0
2001,DIRECTING,Ang Lee,Crouching Tiger| Hidden Dragon,0
2001,DIRECTING,Steven Soderbergh,Erin Brockovich,0
2001,DIRECTING,Ridley Scott,Gladiator,0
2001,DOCUMENTARY (FEATURE),Mark Jonathan Harris  Deborah Oppenheimer,Into the Arms of Strangers: Stories of the Kindertransport,1
2001,DOCUMENTARY (FEATURE),Tod Lending,Legacy,0
2001,DOCUMENTARY (FEATURE),Frances Reid  Deborah Hoffmann,Long Night's Journey into Day,0
2001,DOCUMENTARY (FEATURE),Barak Goodman  Daniel Anker,Scottsboro: An American Tragedy,0
2001,DOCUMENTARY (FEATURE),Josh Aronson  Roger Weisberg,Sound and Fury,0
2001,DOCUMENTARY (SHORT SUBJECT),Tracy Seretean,Big Mama,1
2001,DOCUMENTARY (SHORT SUBJECT),Chuck Braverman  Steve Kalafer,Curtain Call,0
2001,DOCUMENTARY (SHORT SUBJECT),Greg MacGillivray  Alec Lorimore,Dolphins,0
2001,DOCUMENTARY (SHORT SUBJECT),Daniel Raim,The Man on Lincoln's Nose,0
2001,DOCUMENTARY (SHORT SUBJECT),Eric Simonson  Leelai Demoz,On Tiptoe: Gentle Steps to Freedom,0
2001,FILM EDITING,Stephen Mirrione,Traffic,1
2001,FILM EDITING,Joe Hutshing  Saar Klein,Almost Famous,0
2001,FILM EDITING,Tim Squyres,Crouching Tiger| Hidden Dragon,0
2001,FILM EDITING,Pietro Scalia,Gladiator,0
2001,FILM EDITING,Dede Allen,Wonder Boys,0
2001,FOREIGN LANGUAGE FILM,Taiwan,Crouching Tiger| Hidden Dragon,1
2001,FOREIGN LANGUAGE FILM,Mexico,Amores Perros,0
2001,FOREIGN LANGUAGE FILM,Czech Republic,Divided We Fall,0
2001,FOREIGN LANGUAGE FILM,Belgium,Everybody Famous!,0
2001,FOREIGN LANGUAGE FILM,France,The Taste of Others,0
2001,MUSIC (ORIGINAL SCORE),Tan Dun,Crouching Tiger| Hidden Dragon,1
2001,MUSIC (ORIGINAL SCORE),Rachel Portman,Chocolat,0
2001,MUSIC (ORIGINAL SCORE),Hans Zimmer,Gladiator,0
2001,MUSIC (ORIGINAL SCORE),Ennio Morricone,,0
2001,MUSIC (ORIGINAL SCORE),John Williams,The Patriot,0
2001,MUSIC (ORIGINAL SONG),Things Have Changed in "Wonder Boys" Music and Lyric by Bob Dylan,Wonder Boys,1
2001,MUSIC (ORIGINAL SONG),A Fool In Love in "Meet the Parents" Music and Lyric by Randy Newman,Meet the Parents,0
2001,MUSIC (ORIGINAL SONG),I've Seen It All in "Dancer in the Dark" Music by Björk; Lyric by Lars von Trier and Sjon Sigurdsson,Dancer in the Dark,0
2001,MUSIC (ORIGINAL SONG),A Love Before Time in "Crouching Tiger  Hidden Dragon" Music by Jorge Calandrelli and Tan Dun; Lyric by James Schamus,Crouching Tiger| Hidden Dragon,0
2001,MUSIC (ORIGINAL SONG),My Funny Friend And Me in "The Emperor's New Groove" Music by Sting and David Hartley; Lyric by Sting,The Emperor's New Groove,0
2001,BEST PICTURE,Douglas Wick  David Franzoni and Branko Lustig  Producers,Gladiator,1
2001,BEST PICTURE,David Brown  Kit Golden and Leslie Holleran  Producers,Chocolat,0
2001,BEST PICTURE,Bill Kong  Hsu Li Kong and Ang Lee  Producers,Crouching Tiger| Hidden Dragon,0
2001,BEST PICTURE,Danny DeVito  Michael Shamberg and Stacey Sher  Producers,Erin Brockovich,0
2001,BEST PICTURE,Edward Zwick  Marshall Herskovitz and Laura Bickford  Producers,Traffic,0
2001,SHORT FILM (ANIMATED),Michael Dudok de Wit,Father and Daughter,1
2001,SHORT FILM (ANIMATED),Steffen Schäffler  Annette Schäffler,The Periwig-Maker,0
2001,SHORT FILM (ANIMATED),Don Hertzfeldt,Rejected,0
2001,SHORT FILM (LIVE ACTION),Florian Gallenberger,Quiero Ser (I want to be...),1
2001,SHORT FILM (LIVE ACTION),Peter Riegert  Ericka Frederick,By Courier,0
2001,SHORT FILM (LIVE ACTION),Joan Stein  Christina Lazaridi,One Day Crossing,0
2001,SHORT FILM (LIVE ACTION),Gail Lerner  Colin Campbell,Seraglio,0
2001,SHORT FILM (LIVE ACTION),Paulo Machline,A Soccer Story (Uma Historia de Futebol),0
2001,SOUND EDITING,Jon Johnson,U-571,1
2001,SOUND EDITING,Alan Robert Murray  Bub Asman,Space Cowboys,0
2001,VISUAL EFFECTS,John Nelson  Neil Corbould  Tim Burke  Rob Harvey,Gladiator,1
2001,VISUAL EFFECTS,Scott E. Anderson  Craig Hayes  Scott Stokdyk  Stan Parks,Hollow Man,0
2001,VISUAL EFFECTS,Stefen Fangmeier  Habib Zargarpour  John Frazier  Walt Conti,The Perfect Storm,0
2002,ACTOR IN A LEADING ROLE,Training Day,Denzel Washington,1
2002,ACTOR IN A LEADING ROLE,A Beautiful Mind,Russell Crowe,0
2002,ACTOR IN A LEADING ROLE,I Am Sam,Sean Penn,0
2002,ACTOR IN A LEADING ROLE,Ali,Will Smith,0
2002,ACTOR IN A LEADING ROLE,In the Bedroom,Tom Wilkinson,0
2002,ACTOR IN A SUPPORTING ROLE,Iris,Jim Broadbent,1
2002,ACTOR IN A SUPPORTING ROLE,Training Day,Ethan Hawke,0
2002,ACTOR IN A SUPPORTING ROLE,Sexy Beast,Ben Kingsley,0
2002,ACTOR IN A SUPPORTING ROLE,The Lord of the Rings: The Fellowship of the Ring,Ian McKellen,0
2002,ACTOR IN A SUPPORTING ROLE,Ali,Jon Voight,0
2002,ACTRESS IN A LEADING ROLE,Monster's Ball,Halle Berry,1
2002,ACTRESS IN A LEADING ROLE,Iris,Judi Dench,0
2002,ACTRESS IN A LEADING ROLE,Moulin Rouge,Nicole Kidman,0
2002,ACTRESS IN A LEADING ROLE,In the Bedroom,Sissy Spacek,0
2002,ACTRESS IN A LEADING ROLE,Bridget Jones's Diary,Renée Zellweger,0
2002,ACTRESS IN A SUPPORTING ROLE,A Beautiful Mind,Jennifer Connelly,1
2002,ACTRESS IN A SUPPORTING ROLE,Gosford Park,Helen Mirren,0
2002,ACTRESS IN A SUPPORTING ROLE,Gosford Park,Maggie Smith,0
2002,ACTRESS IN A SUPPORTING ROLE,In the Bedroom,Marisa Tomei,0
2002,ACTRESS IN A SUPPORTING ROLE,Iris,Kate Winslet,0
2002,ANIMATED FEATURE FILM,Aron Warner,Shrek,1
2002,ANIMATED FEATURE FILM,Steve Oedekerk  John A. Davis,Jimmy Neutron: Boy Genius,0
2002,ANIMATED FEATURE FILM,Pete Docter  John Lasseter,Monsters| Inc.,0
2002,CINEMATOGRAPHY,Andrew Lesnie,The Lord of the Rings: The Fellowship of the Ring,1
2002,CINEMATOGRAPHY,Bruno Delbonnel,Amélie,0
2002,CINEMATOGRAPHY,Slawomir Idziak,Black Hawk Down,0
2002,CINEMATOGRAPHY,Roger Deakins,The Man Who Wasn't There,0
2002,CINEMATOGRAPHY,Donald M. McAlpine,Moulin Rouge,0
2002,COSTUME DESIGN,Catherine Martin  Angus Strathie,Moulin Rouge,1
2002,COSTUME DESIGN,Milena Canonero,The Affair of the Necklace,0
2002,COSTUME DESIGN,Jenny Beavan,Gosford Park,0
2002,COSTUME DESIGN,Judianna Makovsky,Harry Potter and the Sorcerer's Stone,0
2002,COSTUME DESIGN,Ngila Dickson  Richard Taylor,The Lord of the Rings: The Fellowship of the Ring,0
2002,DIRECTING,Ron Howard,A Beautiful Mind,1
2002,DIRECTING,Ridley Scott,Black Hawk Down,0
2002,DIRECTING,Robert Altman,Gosford Park,0
2002,DIRECTING,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,0
2002,DIRECTING,David Lynch,Mulholland Drive,0
2002,DOCUMENTARY (FEATURE),Jean-Xavier de Lestrade  Denis Poncet,Murder on a Sunday Morning,1
2002,DOCUMENTARY (FEATURE),Edet Belzberg,Children Underground,0
2002,DOCUMENTARY (FEATURE),Susan Froemke  Deborah Dickson,LaLee's Kin: The Legacy of Cotton,0
2002,DOCUMENTARY (FEATURE),Justine Shapiro  B.Z. Goldberg,Promises,0
2002,DOCUMENTARY (FEATURE),Christian Frei,War Photographer,0
2002,DOCUMENTARY (SHORT SUBJECT),Sarah Kernochan  Lynn Appelle,Thoth,1
2002,DOCUMENTARY (SHORT SUBJECT),Lianne Klapper McNally,Artists and Orphans: A True Drama,0
2002,DOCUMENTARY (SHORT SUBJECT),Freida Lee Mock  Jessica Sanders,Sing!,0
2002,FILM EDITING,Pietro Scalia,Black Hawk Down,1
2002,FILM EDITING,Mike Hill  Dan Hanley,A Beautiful Mind,0
2002,FILM EDITING,John Gilbert,The Lord of the Rings: The Fellowship of the Ring,0
2002,FILM EDITING,Dody Dorn,Memento,0
2002,FILM EDITING,Jill Bilcock,Moulin Rouge,0
2002,FOREIGN LANGUAGE FILM,Bosnia & Herzegovina,No Man's Land,1
2002,FOREIGN LANGUAGE FILM,France,Amélie,0
2002,FOREIGN LANGUAGE FILM,Norway,Elling,0
2002,FOREIGN LANGUAGE FILM,India,Lagaan,0
2002,FOREIGN LANGUAGE FILM,Argentina,Son of the Bride,0
2002,MUSIC (ORIGINAL SCORE),Howard Shore,The Lord of the Rings: The Fellowship of the Ring,1
2002,MUSIC (ORIGINAL SCORE),John Williams,A.I. Artificial Intelligence,0
2002,MUSIC (ORIGINAL SCORE),James Horner,A Beautiful Mind,0
2002,MUSIC (ORIGINAL SCORE),John Williams,Harry Potter and the Sorcerer's Stone,0
2002,MUSIC (ORIGINAL SCORE),Randy Newman,Monsters| Inc.,0
2002,MUSIC (ORIGINAL SONG),If I Didn't Have You in "Monsters  Inc." Music and Lyric by Randy Newman,Monsters| Inc.,1
2002,MUSIC (ORIGINAL SONG),May It Be in "The Lord of the Rings: The Fellowship of the Ring" Music and Lyric by Enya  Nicky Ryan and Roma Ryan,The Lord of the Rings: The Fellowship of the Ring,0
2002,MUSIC (ORIGINAL SONG),There You'll Be in "Pearl Harbor" Music and Lyric by Diane Warren,Pearl Harbor,0
2002,MUSIC (ORIGINAL SONG),Until in "Kate & Leopold" Music and Lyric by Sting,Kate & Leopold,0
2002,MUSIC (ORIGINAL SONG),Vanilla Sky in "Vanilla Sky" Music and Lyric by Paul McCartney,Vanilla Sky,0
2002,BEST PICTURE,Brian Grazer and Ron Howard  Producers,A Beautiful Mind,1
2002,BEST PICTURE,Robert Altman  Bob Balaban and David Levy  Producers,Gosford Park,0
2002,BEST PICTURE,Graham Leader  Ross Katz and Todd Field  Producers,In the Bedroom,0
2002,BEST PICTURE,Peter Jackson  Fran Walsh and Barrie M. Osborne  Producers,The Lord of the Rings: The Fellowship of the Ring,0
2002,BEST PICTURE,Martin Brown  Baz Luhrmann and Fred Baron  Producers,Moulin Rouge,0
2002,SHORT FILM (ANIMATED),Ralph Eggleston,For the Birds,1
2002,SHORT FILM (ANIMATED),Ruairi Robinson  Seamus Byrne,Fifty Percent Grey,0
2002,SHORT FILM (ANIMATED),Cathal Gaffney  Darragh O'Connell,Give Up Yer Aul Sins,0
2002,SHORT FILM (ANIMATED),Cordell Barker,Strange Invaders,0
2002,SHORT FILM (ANIMATED),Joseph E. Merideth,Stubble Trouble,0
2002,SHORT FILM (LIVE ACTION),Ray McKinnon  Lisa Blount,the accountant,1
2002,SHORT FILM (LIVE ACTION),Virgil Widrich,Copy Shop,0
2002,SHORT FILM (LIVE ACTION),Johannes Kiefer,Gregor's Greatest Invention,0
2002,SHORT FILM (LIVE ACTION),Slawomir Fabicki  Bogumil Godfrejow,A Man Thing (Meska Sprawa),0
2002,SHORT FILM (LIVE ACTION),Kalman Apple  Shameela Bakhsh,Speed for Thespians,0
2002,SOUND EDITING,George Watters II  Christopher Boyes,Pearl Harbor,1
2002,SOUND EDITING,Gary Rydstrom  Michael Silvers,Monsters| Inc.,0
2002,VISUAL EFFECTS,Jim Rygiel  Randall William Cook  Richard Taylor  Mark Stetson,The Lord of the Rings: The Fellowship of the Ring,1
2002,VISUAL EFFECTS,Dennis Muren  Scott Farrar  Stan Winston  Michael Lantieri,A.I. Artificial Intelligence,0
2002,VISUAL EFFECTS,Eric Brevig  John Frazier  Ed Hirsh  Ben Snow,Pearl Harbor,0
2003,ACTOR IN A LEADING ROLE,The Pianist,Adrien Brody,1
2003,ACTOR IN A LEADING ROLE,Adaptation,Nicolas Cage,0
2003,ACTOR IN A LEADING ROLE,The Quiet American,Michael Caine,0
2003,ACTOR IN A LEADING ROLE,Gangs of New York,Daniel Day-Lewis,0
2003,ACTOR IN A LEADING ROLE,About Schmidt,Jack Nicholson,0
2003,ACTOR IN A SUPPORTING ROLE,Adaptation,Chris Cooper,1
2003,ACTOR IN A SUPPORTING ROLE,The Hours,Ed Harris,0
2003,ACTOR IN A SUPPORTING ROLE,Road to Perdition,Paul Newman,0
2003,ACTOR IN A SUPPORTING ROLE,Chicago,John C. Reilly,0
2003,ACTOR IN A SUPPORTING ROLE,Catch Me If You Can,Christopher Walken,0
2003,ACTRESS IN A LEADING ROLE,The Hours,Nicole Kidman,1
2003,ACTRESS IN A LEADING ROLE,Frida,Salma Hayek,0
2003,ACTRESS IN A LEADING ROLE,Unfaithful,Diane Lane,0
2003,ACTRESS IN A LEADING ROLE,Far from Heaven,Julianne Moore,0
2003,ACTRESS IN A LEADING ROLE,Chicago,Renée Zellweger,0
2003,ACTRESS IN A SUPPORTING ROLE,Chicago,Catherine Zeta-Jones,1
2003,ACTRESS IN A SUPPORTING ROLE,About Schmidt,Kathy Bates,0
2003,ACTRESS IN A SUPPORTING ROLE,The Hours,Julianne Moore,0
2003,ACTRESS IN A SUPPORTING ROLE,Chicago,Queen Latifah,0
2003,ACTRESS IN A SUPPORTING ROLE,Adaptation,Meryl Streep,0
2003,ANIMATED FEATURE FILM,Hayao Miyazaki,Spirited Away,1
2003,ANIMATED FEATURE FILM,Chris Wedge,Ice Age,0
2003,ANIMATED FEATURE FILM,Chris Sanders,Lilo & Stitch,0
2003,ANIMATED FEATURE FILM,Jeffrey Katzenberg,Spirit: Stallion of the Cimarron,0
2003,ANIMATED FEATURE FILM,Ron Clements,Treasure Planet,0
2003,CINEMATOGRAPHY,Conrad L. Hall,Road to Perdition,1
2003,CINEMATOGRAPHY,Dion Beebe,Chicago,0
2003,CINEMATOGRAPHY,Edward Lachman,Far from Heaven,0
2003,CINEMATOGRAPHY,Michael Ballhaus,Gangs of New York,0
2003,CINEMATOGRAPHY,Pawel Edelman,The Pianist,0
2003,COSTUME DESIGN,Colleen Atwood,Chicago,1
2003,COSTUME DESIGN,Julie Weiss,Frida,0
2003,COSTUME DESIGN,Sandy Powell,Gangs of New York,0
2003,COSTUME DESIGN,Ann Roth,The Hours,0
2003,COSTUME DESIGN,Anna Sheppard,The Pianist,0
2003,DIRECTING,Roman Polanski,The Pianist,1
2003,DIRECTING,Rob Marshall,Chicago,0
2003,DIRECTING,Martin Scorsese,Gangs of New York,0
2003,DIRECTING,Stephen Daldry,The Hours,0
2003,DIRECTING,Pedro Almodóvar,Talk to Her,0
2003,DOCUMENTARY (FEATURE),Michael Moore  Michael Donovan,Bowling for Columbine,1
2003,DOCUMENTARY (FEATURE),Gail Dolgin  Vicente Franco,Daughter from Danang,0
2003,DOCUMENTARY (FEATURE),Malcolm Clarke  Stuart Sender,Prisoner of Paradise,0
2003,DOCUMENTARY (FEATURE),Jeffrey Blitz  Sean Welch,Spellbound,0
2003,DOCUMENTARY (FEATURE),Jacques Perrin,Winged Migration,0
2003,DOCUMENTARY (SHORT SUBJECT),Bill Guttentag  Robert David Port,Twin Towers,1
2003,DOCUMENTARY (SHORT SUBJECT),Alice Elliott,The Collector of Bedford Street,0
2003,DOCUMENTARY (SHORT SUBJECT),Robert Hudson  Bobby Houston,Mighty Times: The Legacy of Rosa Parks,0
2003,DOCUMENTARY (SHORT SUBJECT),Roger Weisberg  Murray Nossel,Why Can't We Be a Family Again?,0
2003,FILM EDITING,Martin Walsh,Chicago,1
2003,FILM EDITING,Thelma Schoonmaker,Gangs of New York,0
2003,FILM EDITING,Peter Boyle,The Hours,0
2003,FILM EDITING,Michael Horton,The Lord of the Rings: The Two Towers,0
2003,FILM EDITING,Hervé de Luze,The Pianist,0
2003,FOREIGN LANGUAGE FILM,Germany,Nowhere in Africa,1
2003,FOREIGN LANGUAGE FILM,Mexico,El Crimen del Padre Amaro,0
2003,FOREIGN LANGUAGE FILM,People's Republic of China,Hero,0
2003,FOREIGN LANGUAGE FILM,Finland,The Man without a Past,0
2003,FOREIGN LANGUAGE FILM,The Netherlands,Zus & Zo,0
2003,MUSIC (ORIGINAL SCORE),Elliot Goldenthal,Frida,1
2003,MUSIC (ORIGINAL SCORE),John Williams,Catch Me If You Can,0
2003,MUSIC (ORIGINAL SCORE),Elmer Bernstein,Far from Heaven,0
2003,MUSIC (ORIGINAL SCORE),Philip Glass,The Hours,0
2003,MUSIC (ORIGINAL SCORE),Thomas Newman,Road to Perdition,0
2003,MUSIC (ORIGINAL SONG),Lose Yourself in "8 Mile" Music by Eminem  Jeff Bass and Luis Resto; Lyric by Eminem,8 Mile,1
2003,MUSIC (ORIGINAL SONG),Burn It Blue in "Frida" Music by Elliot Goldenthal; Lyric by Julie Taymor,Frida,0
2003,MUSIC (ORIGINAL SONG),Father And Daughter in "The Wild Thornberrys Movie" Music and Lyric by Paul Simon,The Wild Thornberrys Movie,0
2003,MUSIC (ORIGINAL SONG),The Hands That Built America in "Gangs of New York" Music and Lyric by Bono  The Edge  Adam Clayton and Larry Mullen,Gangs of New York,0
2003,MUSIC (ORIGINAL SONG),I Move On in "Chicago" Music by John Kander; Lyric by Fred Ebb,Chicago,0
2003,BEST PICTURE,Martin Richards  Producer,Chicago,1
2003,BEST PICTURE,Alberto Grimaldi and Harvey Weinstein  Producers,Gangs of New York,0
2003,BEST PICTURE,Scott Rudin and Robert Fox  Producers,The Hours,0
2003,BEST PICTURE,Barrie M. Osborne  Fran Walsh and Peter Jackson  Producers,The Lord of the Rings: The Two Towers,0
2003,BEST PICTURE,Roman Polanski  Robert Benmussa and Alain Sarde  Producers,The Pianist,0
2003,SHORT FILM (ANIMATED),Eric Armstrong,The ChubbChubbs!,1
2003,SHORT FILM (ANIMATED),Tomek Baginski,The Cathedral,0
2003,SHORT FILM (ANIMATED),Chris Stenner  Heidi Wittlinger,Das Rad,0
2003,SHORT FILM (ANIMATED),Pete Docter  Roger Gould,Mike's New Car,0
2003,SHORT FILM (ANIMATED),Koji Yamamura,Mt. Head,0
